Account	Date	Year	Month	Status	TxnCount
BMO-TTICorp (0677032724)	2022-01-31	2022	01	Missing	0
BMO-TTICorp (0677032724)	2022-02-28	2022	02	Missing	0
BMO-TTICorp (0677032724)	2022-03-31	2022	03	Missing	0
BMO-TTICorp (0677032724)	2022-04-30	2022	04	Missing	0
BMO-TTICorp (0677032724)	2022-05-31	2022	05	Missing	0
BMO-TTICorp (0677032724)	2022-06-30	2022	06	Missing	0
BMO-TTICorp (0677032724)	2022-07-31	2022	07	Missing	0
BMO-TTICorp (0677032724)	2022-08-31	2022	08	Missing	0
BMO-TTICorp (0677032724)	2022-09-30	2022	09	Missing	0
BMO-TTICorp (0677032724)	2022-10-31	2022	10	Missing	0
BMO-TTICorp (0677032724)	2022-11-30	2022	11	Missing	0
BMO-TTICorp (0677032724)	2022-12-31	2022	12	Missing	0
BMO-TTICorp (0677032724)	2023-01-31	2023	01	Missing	0
BMO-TTICorp (0677032724)	2023-02-28	2023	02	Missing	0
BMO-TTICorp (0677032724)	2023-03-31	2023	03	Missing	0
BMO-TTICorp (0677032724)	2023-04-30	2023	04	Missing	0
BMO-TTICorp (0677032724)	2023-05-31	2023	05	Missing	0
BMO-TTICorp (0677032724)	2023-06-30	2023	06	Missing	0
BMO-TTICorp (0677032724)	2023-07-31	2023	07	Missing	0
BMO-TTICorp (0677032724)	2023-08-31	2023	08	Missing	0
BMO-TTICorp (0677032724)	2023-09-30	2023	09	Missing	0
BMO-TTICorp (0677032724)	2023-10-31	2023	10	Missing	0
BMO-TTICorp (0677032724)	2023-11-30	2023	11	Missing	0
BMO-TTICorp (0677032724)	2023-12-31	2023	12	Missing	0
BMO-TTICorp (0677032724)	2024-01-31	2024	01	Provided	237
BMO-TTICorp (0677032724)	2024-02-29	2024	02	Provided	227
BMO-TTICorp (0677032724)	2024-03-31	2024	03	Provided	214
BMO-TTICorp (0677032724)	2024-04-30	2024	04	Provided	246
BMO-TTICorp (0677032724)	2024-05-31	2024	05	Provided	249
BMO-TTICorp (0677032724)	2024-06-30	2024	06	Provided	191
BMO-TTICorp (0677032724)	2024-07-31	2024	07	Provided	255
BMO-TTICorp (0677032724)	2024-08-31	2024	08	Provided	279
BMO-TTICorp (0677032724)	2024-09-30	2024	09	Provided	181
BMO-TTICorp (0677032724)	2024-10-31	2024	10	Provided	247
BMO-TTICorp (0677032724)	2024-11-30	2024	11	Provided	215
BMO-TTICorp (0677032724)	2024-12-31	2024	12	Provided	160
BMO-TTICorp (0677032724)	2025-01-31	2025	01	Provided	11
BMO-TTICorp (0677032724)	2025-02-28	2025	02	Provided	12
BMO-TTICorp (0677032724)	2025-03-31	2025	03	Provided	11
BMO-TTICorp (0677032724)	2025-04-30	2025	04	Provided	3
BMO-TTICorp (0677032724)	2025-05-31	2025	05	Provided	12
BMO-TTICorp (0677032724)	2025-06-30	2025	06	Missing	0
BMO-TTICorp (0677032724)	2025-07-31	2025	07	Missing	0
BMO-TTICorp (0677032724)	2025-08-31	2025	08	Missing	0
BMO-TTICorp (0677032724)	2025-09-30	2025	09	Missing	0
BMO-TTICorp (0677032724)	2025-10-31	2025	10	Missing	0
BMO-TTICorp (0677032724)	2025-11-30	2025	11	Missing	0
BMO-TTICorp (0677032724)	2025-12-31	2025	12	Missing	0
BMO-TTICorp (0677032724)	2026-01-31	2026	01	Missing	0
BMO-TTICorp (0677032724)	2026-02-28	2026	02	Missing	0
BMO-TTICorp (0677032724)	2026-03-31	2026	03	Missing	0
BMO-TTICorp (0677032724)	2026-04-30	2026	04	Missing	0
BMO-TTICorp (0677032724)	2026-05-31	2026	05	Missing	0
BMO-TTICorp (0677032724)	2026-06-30	2026	06	Missing	0
BMO-TTICorp (0677032724)	2026-07-31	2026	07	Missing	0
BMO-TTICorp (0677032724)	2026-08-31	2026	08	Missing	0
BMO-TTICorp (0677032724)	2026-09-30	2026	09	Missing	0
BMO-TTICorp (0677032724)	2026-10-31	2026	10	Missing	0
BMO-TTICorp (0677032724)	2026-11-30	2026	11	Missing	0
BMO-TTICorp (0677032724)	2026-12-31	2026	12	Missing	0
BMO-TTIPark (0069956696)	2022-01-31	2022	01	Missing	0
BMO-TTIPark (0069956696)	2022-02-28	2022	02	Missing	0
BMO-TTIPark (0069956696)	2022-03-31	2022	03	Missing	0
BMO-TTIPark (0069956696)	2022-04-30	2022	04	Missing	0
BMO-TTIPark (0069956696)	2022-05-31	2022	05	Missing	0
BMO-TTIPark (0069956696)	2022-06-30	2022	06	Missing	0
BMO-TTIPark (0069956696)	2022-07-31	2022	07	Missing	0
BMO-TTIPark (0069956696)	2022-08-31	2022	08	Missing	0
BMO-TTIPark (0069956696)	2022-09-30	2022	09	Missing	0
BMO-TTIPark (0069956696)	2022-10-31	2022	10	Missing	0
BMO-TTIPark (0069956696)	2022-11-30	2022	11	Missing	0
BMO-TTIPark (0069956696)	2022-12-31	2022	12	Missing	0
BMO-TTIPark (0069956696)	2023-01-31	2023	01	Missing	0
BMO-TTIPark (0069956696)	2023-02-28	2023	02	Missing	0
BMO-TTIPark (0069956696)	2023-03-31	2023	03	Missing	0
BMO-TTIPark (0069956696)	2023-04-30	2023	04	Missing	0
BMO-TTIPark (0069956696)	2023-05-31	2023	05	Missing	0
BMO-TTIPark (0069956696)	2023-06-30	2023	06	Missing	0
BMO-TTIPark (0069956696)	2023-07-31	2023	07	Missing	0
BMO-TTIPark (0069956696)	2023-08-31	2023	08	Missing	0
BMO-TTIPark (0069956696)	2023-09-30	2023	09	Missing	0
BMO-TTIPark (0069956696)	2023-10-31	2023	10	Missing	0
BMO-TTIPark (0069956696)	2023-11-30	2023	11	Missing	0
BMO-TTIPark (0069956696)	2023-12-31	2023	12	Missing	0
BMO-TTIPark (0069956696)	2024-01-31	2024	01	Missing	0
BMO-TTIPark (0069956696)	2024-02-29	2024	02	Missing	0
BMO-TTIPark (0069956696)	2024-03-31	2024	03	Missing	0
BMO-TTIPark (0069956696)	2024-04-30	2024	04	Missing	0
BMO-TTIPark (0069956696)	2024-05-31	2024	05	Missing	0
BMO-TTIPark (0069956696)	2024-06-30	2024	06	Missing	0
BMO-TTIPark (0069956696)	2024-07-31	2024	07	Missing	0
BMO-TTIPark (0069956696)	2024-08-31	2024	08	Missing	0
BMO-TTIPark (0069956696)	2024-09-30	2024	09	Missing	0
BMO-TTIPark (0069956696)	2024-10-31	2024	10	Missing	0
BMO-TTIPark (0069956696)	2024-11-30	2024	11	Missing	0
BMO-TTIPark (0069956696)	2024-12-31	2024	12	Missing	0
BMO-TTIPark (0069956696)	2025-01-31	2025	01	Provided	12
BMO-TTIPark (0069956696)	2025-02-28	2025	02	Provided	10
BMO-TTIPark (0069956696)	2025-03-31	2025	03	Provided	18
BMO-TTIPark (0069956696)	2025-04-30	2025	04	Provided	11
BMO-TTIPark (0069956696)	2025-05-31	2025	05	Provided	10
BMO-TTIPark (0069956696)	2025-06-30	2025	06	Provided	10
BMO-TTIPark (0069956696)	2025-07-31	2025	07	Provided	14
BMO-TTIPark (0069956696)	2025-08-31	2025	08	Provided	14
BMO-TTIPark (0069956696)	2025-09-30	2025	09	Provided	11
BMO-TTIPark (0069956696)	2025-10-31	2025	10	Provided	18
BMO-TTIPark (0069956696)	2025-11-30	2025	11	Provided	10
BMO-TTIPark (0069956696)	2025-12-31	2025	12	Provided	10
BMO-TTIPark (0069956696)	2026-01-31	2026	01	Provided	12
BMO-TTIPark (0069956696)	2026-02-28	2026	02	Provided	13
BMO-TTIPark (0069956696)	2026-03-31	2026	03	Provided	12
BMO-TTIPark (0069956696)	2026-04-30	2026	04	Missing	0
BMO-TTIPark (0069956696)	2026-05-31	2026	05	Missing	0
BMO-TTIPark (0069956696)	2026-06-30	2026	06	Missing	0
BMO-TTIPark (0069956696)	2026-07-31	2026	07	Missing	0
BMO-TTIPark (0069956696)	2026-08-31	2026	08	Missing	0
BMO-TTIPark (0069956696)	2026-09-30	2026	09	Missing	0
BMO-TTIPark (0069956696)	2026-10-31	2026	10	Missing	0
BMO-TTIPark (0069956696)	2026-11-30	2026	11	Missing	0
BMO-TTIPark (0069956696)	2026-12-31	2026	12	Missing	0
CNB-TTICorp2 (248017740)	2022-01-31	2022	01	Missing	0
CNB-TTICorp2 (248017740)	2022-02-28	2022	02	Missing	0
CNB-TTICorp2 (248017740)	2022-03-31	2022	03	Missing	0
CNB-TTICorp2 (248017740)	2022-04-30	2022	04	Missing	0
CNB-TTICorp2 (248017740)	2022-05-31	2022	05	Missing	0
CNB-TTICorp2 (248017740)	2022-06-30	2022	06	Missing	0
CNB-TTICorp2 (248017740)	2022-07-31	2022	07	Missing	0
CNB-TTICorp2 (248017740)	2022-08-31	2022	08	Missing	0
CNB-TTICorp2 (248017740)	2022-09-30	2022	09	Missing	0
CNB-TTICorp2 (248017740)	2022-10-31	2022	10	Missing	0
CNB-TTICorp2 (248017740)	2022-11-30	2022	11	Missing	0
CNB-TTICorp2 (248017740)	2022-12-31	2022	12	Missing	0
CNB-TTICorp2 (248017740)	2023-01-31	2023	01	Missing	0
CNB-TTICorp2 (248017740)	2023-02-28	2023	02	Missing	0
CNB-TTICorp2 (248017740)	2023-03-31	2023	03	Missing	0
CNB-TTICorp2 (248017740)	2023-04-30	2023	04	Missing	0
CNB-TTICorp2 (248017740)	2023-05-31	2023	05	Missing	0
CNB-TTICorp2 (248017740)	2023-06-30	2023	06	Missing	0
CNB-TTICorp2 (248017740)	2023-07-31	2023	07	Missing	0
CNB-TTICorp2 (248017740)	2023-08-31	2023	08	Missing	0
CNB-TTICorp2 (248017740)	2023-09-30	2023	09	Missing	0
CNB-TTICorp2 (248017740)	2023-10-31	2023	10	Missing	0
CNB-TTICorp2 (248017740)	2023-11-30	2023	11	Missing	0
CNB-TTICorp2 (248017740)	2023-12-31	2023	12	Missing	0
CNB-TTICorp2 (248017740)	2024-01-31	2024	01	Missing	0
CNB-TTICorp2 (248017740)	2024-02-29	2024	02	Provided	1
CNB-TTICorp2 (248017740)	2024-03-31	2024	03	Provided	0
CNB-TTICorp2 (248017740)	2024-04-30	2024	04	Provided	4
CNB-TTICorp2 (248017740)	2024-05-31	2024	05	Provided	2
CNB-TTICorp2 (248017740)	2024-06-30	2024	06	Provided	1
CNB-TTICorp2 (248017740)	2024-07-31	2024	07	Provided	0
CNB-TTICorp2 (248017740)	2024-08-31	2024	08	Provided	1
CNB-TTICorp2 (248017740)	2024-09-30	2024	09	Provided	3
CNB-TTICorp2 (248017740)	2024-10-31	2024	10	Provided	18
CNB-TTICorp2 (248017740)	2024-11-30	2024	11	Provided	23
CNB-TTICorp2 (248017740)	2024-12-31	2024	12	Missing	0
CNB-TTICorp2 (248017740)	2025-01-31	2025	01	Provided	10
CNB-TTICorp2 (248017740)	2025-02-28	2025	02	Provided	12
CNB-TTICorp2 (248017740)	2025-03-31	2025	03	Provided	27
CNB-TTICorp2 (248017740)	2025-04-30	2025	04	Provided	14
CNB-TTICorp2 (248017740)	2025-05-31	2025	05	Provided	18
CNB-TTICorp2 (248017740)	2025-06-30	2025	06	Provided	12
CNB-TTICorp2 (248017740)	2025-07-31	2025	07	Provided	11
CNB-TTICorp2 (248017740)	2025-08-31	2025	08	Provided	17
CNB-TTICorp2 (248017740)	2025-09-30	2025	09	Provided	19
CNB-TTICorp2 (248017740)	2025-10-31	2025	10	Provided	18
CNB-TTICorp2 (248017740)	2025-11-30	2025	11	Provided	17
CNB-TTICorp2 (248017740)	2025-12-31	2025	12	Provided	11
CNB-TTICorp2 (248017740)	2026-01-31	2026	01	Missing	0
CNB-TTICorp2 (248017740)	2026-02-28	2026	02	Missing	0
CNB-TTICorp2 (248017740)	2026-03-31	2026	03	Missing	0
CNB-TTICorp2 (248017740)	2026-04-30	2026	04	Missing	0
CNB-TTICorp2 (248017740)	2026-05-31	2026	05	Missing	0
CNB-TTICorp2 (248017740)	2026-06-30	2026	06	Missing	0
CNB-TTICorp2 (248017740)	2026-07-31	2026	07	Missing	0
CNB-TTICorp2 (248017740)	2026-08-31	2026	08	Missing	0
CNB-TTICorp2 (248017740)	2026-09-30	2026	09	Missing	0
CNB-TTICorp2 (248017740)	2026-10-31	2026	10	Missing	0
CNB-TTICorp2 (248017740)	2026-11-30	2026	11	Missing	0
CNB-TTICorp2 (248017740)	2026-12-31	2026	12	Missing	0
TK-Investments (037441394)	2022-01-31	2022	01	Missing	0
TK-Investments (037441394)	2022-02-28	2022	02	Missing	0
TK-Investments (037441394)	2022-03-31	2022	03	Missing	0
TK-Investments (037441394)	2022-04-30	2022	04	Missing	0
TK-Investments (037441394)	2022-05-31	2022	05	Missing	0
